path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream
extensions/browser/src/browser/pw-role-snapshot.ts	test-support-fixture-snapshot	no	present	present	no	yes
extensions/codex/src/app-server/context-compaction-activity.test.ts	test-file	no	present	present	no	yes
extensions/codex/src/app-server/transcript-mirror.test.ts	test-file	no	present	present	no	yes
extensions/codex/src/node-exec-server.test.ts	test-file	no	present	present	no	yes
extensions/discord/src/actions/handle-action.upload-file-caption.test.ts	test-file	no	present	present	no	yes
extensions/matrix/src/matrix/poll-types.test.ts	test-file	no	present	present	no	yes
extensions/memory-wiki/src/query.test.ts	test-file	no	present	present	no	yes
extensions/msteams/src/attachments.test.ts	test-file	no	present	present	no	yes
extensions/msteams/src/attachments/shared.test.ts	test-file	no	present	present	no	yes
extensions/openai/realtime-quicksilver-gateway-bridge-lifecycle.test.ts	test-file	no	present	present	no	yes
extensions/telegram/src/bot-message-dispatch.pipeline-init.test.ts	test-file	no	present	present	no	yes
extensions/telegram/src/bot-message-dispatch.test-harness.ts	test-support-fixture-snapshot	no	present	present	no	yes
extensions/whatsapp/src/auto-reply/monitor/process-message.test.ts	test-file	no	present	present	no	yes
packages/gateway-client/src/pending-request.test.ts	test-file	no	present	present	no	yes
packages/gateway-client/src/protocol-client.request.test.ts	test-file	no	present	present	no	yes
packages/gateway-client/src/session-projection.test.ts	test-file	no	present	present	no	yes
packages/gateway-protocol/src/schema/logs-chat.test.ts	test-file	no	present	present	no	yes
packages/gateway-protocol/src/schema/snapshot.ts	test-support-fixture-snapshot	no	present	present	no	yes
src/agents/agent-tools.before-tool-call.embedded-mode.test.ts	test-file	no	present	present	no	yes
src/agents/auth-profiles/oauth.openai-codex-refresh-fallback.test.ts	test-file	no	present	present	no	yes
src/agents/auth-profiles/source-check.test.ts	test-file	no	present	present	no	yes
src/agents/auth-profiles/upsert-with-lock.sqlite.test.ts	test-file	no	present	present	no	yes
src/agents/bash-tools.exec.approval-id.test.ts	test-file	no	present	present	no	yes
src/agents/cli-runner.interrupted-partial-output.test.ts	test-file	no	present	present	no	yes
src/agents/cli-runner/claude-live-session.abort-partial-output.test.ts	test-file	no	present	present	no	yes
src/agents/code-mode-worker-lifecycle.test.ts	test-file	no	present	present	no	yes
src/agents/code-mode.bridge.test.ts	test-file	no	present	present	no	yes
src/agents/code-mode.preflight-repair.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run.code-mode-reconciliation.test-support.ts	test-support-fixture-snapshot	no	present	present	no	yes
src/agents/embedded-agent-runner/run.prepared-harness-source-delivery.integration.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run.shared-integration.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-client-tools.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-execution-settle.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-prompt-phase.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-prompt-tool-policy.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-session.test.ts	test-file	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-spawn-workspace.test-support.ts	test-support-fixture-snapshot	no	present	present	no	yes
src/agents/embedded-agent-runner/run/attempt-stream-finalize.test.ts	test-file	no	present	present	no	yes
