path	dropped_lines	base_upstream_blob	accepted_candidate_blob	accepted_delta	accepted_commits	disposition
docs/tools/subagents.md	3	c6a7b9c336a3bf3eb5d4dd79a8b24939a96b2439	f4bb2a8945e6b3ed4851aaa8133e4d22cd53c3d8	+9/-3	b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|3f8d6503dde:Merge upstream main 530b33e4 into continuation assembly|324fef4071d:Merge remote-tracking branch 'upstream/main' into scribe/20260809/backmerge-upstream|31af61428a6:merge: absorb upstream drift and restore continuation tracing|09217761501:Merge upstream main through 725fe96|7abbbe17ef9:merge: absorb upstream 6543e6f into PR presentation assembly|55fb755bebb:merge: absorb frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|726f4e2f9cc:Merge upstream after post-666 corrections|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|81930ccd5e2:merge: absorb upstream through 444fd4b for #1172|c22ef4effa1:Merge upstream into #1184 final assembly candidate|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|4036e41b55e:Merge upstream/main into 1172 status row assembly|d99dd096dd6:Merge upstream/main into #1172 safe assembly|93dd8b01b3e:Merge upstream/main into continuation presentation|b2b7de036fb:Merge remote-tracking branch 'upstream/main' into frond-scribe/20260624/assembly-continuation-followons|3a5266e6de8:scrub: remove fork org/issue refs + internal codenames for upstream presentation|de9eccc1af0:Merge upstream snapshot|8e04d27f1a5:feat(continuation): replay drift-cure candidate onto upstream	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at c6a7b9c336a3bf3eb5d4dd79a8b24939a96b2439. CANDIDATE preserves accepted SOURCE blob f4bb2a8945e6b3ed4851aaa8133e4d22cd53c3d8; the accepted +9/-3 overlay from b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|3f8d6503dde:Merge upstream main 530b33e4 into continuation assembly|324fef4071d:Merge remote-tracking branch 'upstream/main' into scribe/20260809/backmerge-upstream|31af61428a6:merge: absorb upstream drift and restore continuation tracing|09217761501:Merge upstream main through 725fe96|7abbbe17ef9:merge: absorb upstream 6543e6f into PR presentation assembly|55fb755bebb:merge: absorb frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|726f4e2f9cc:Merge upstream after post-666 corrections|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|81930ccd5e2:merge: absorb upstream through 444fd4b for #1172|c22ef4effa1:Merge upstream into #1184 final assembly candidate|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|4036e41b55e:Merge upstream/main into 1172 status row assembly|d99dd096dd6:Merge upstream/main into #1172 safe assembly|93dd8b01b3e:Merge upstream/main into continuation presentation|b2b7de036fb:Merge remote-tracking branch 'upstream/main' into frond-scribe/20260624/assembly-continuation-followons|3a5266e6de8:scrub: remove fork org/issue refs + internal codenames for upstream presentation|de9eccc1af0:Merge upstream snapshot|8e04d27f1a5:feat(continuation): replay drift-cure candidate onto upstream supersedes the 3-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/clawrouter/stream.ts	1	cda5b4e675af2c829aff4a9470876cb1a11bd677	09dead6e7062b3555f1448371ae405b89bfe7c24	+5/-1	228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|487b2ac852c:Add model request IDs for ClawRouter routing|a50f171de61:Merge upstream/main into #1172 assembly|c6442a2dece:Merge upstream/main into #1172 assembly	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at cda5b4e675af2c829aff4a9470876cb1a11bd677. CANDIDATE preserves accepted SOURCE blob 09dead6e7062b3555f1448371ae405b89bfe7c24; the accepted +5/-1 overlay from 228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|487b2ac852c:Add model request IDs for ClawRouter routing|a50f171de61:Merge upstream/main into #1172 assembly|c6442a2dece:Merge upstream/main into #1172 assembly supersedes the 1-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/clickclack/src/accounts.test.ts	2	352886dd157dff1527a800177327c4e3480864b3	bde14e525dcfd4e39635ceae3351960494355338	+6/-6	09b553e5fc7:fix: repair two silent merge overlaps surfaced by the static gates|d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|e4053f698ea:fix(drift): align test roots with upstream rename surface|37d0fc70e1b:Merge upstream/main (b8b2046c083) into 1172 continuation assembly|95f521d1a08:test(clickclack): cover native progress default	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at 352886dd157dff1527a800177327c4e3480864b3. CANDIDATE preserves accepted SOURCE blob bde14e525dcfd4e39635ceae3351960494355338; the accepted +6/-6 overlay from 09b553e5fc7:fix: repair two silent merge overlaps surfaced by the static gates|d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|e4053f698ea:fix(drift): align test roots with upstream rename surface|37d0fc70e1b:Merge upstream/main (b8b2046c083) into 1172 continuation assembly|95f521d1a08:test(clickclack): cover native progress default supersedes the 2-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/auth-bridge.test.ts	5	b7d54ff8295d4ffe5fac0083162b2b84caaa707f	35bc160d715a78d8562c68d16b53db218d4aa8cd	+12/-12	b5f1960fd4d:merge: backmerge frozen upstream into continuation|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|e4053f698ea:fix(drift): align test roots with upstream rename surface	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at b7d54ff8295d4ffe5fac0083162b2b84caaa707f. CANDIDATE preserves accepted SOURCE blob 35bc160d715a78d8562c68d16b53db218d4aa8cd; the accepted +12/-12 overlay from b5f1960fd4d:merge: backmerge frozen upstream into continuation|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|e4053f698ea:fix(drift): align test roots with upstream rename surface supersedes the 5-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/computer-use.test.ts	2	bf0d77ba1dccadef1f3b589bbbf63f297588733d	ab69f6fbb47b0870f23dba94c064e17bc6bc36ef	+5/-2	b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|8abde93a5d1:Merge upstream 9aa24e8f into PR presentation assembly|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|4e45ee9bede:Fix deterministic CI shard reds	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at bf0d77ba1dccadef1f3b589bbbf63f297588733d. CANDIDATE preserves accepted SOURCE blob ab69f6fbb47b0870f23dba94c064e17bc6bc36ef; the accepted +5/-2 overlay from b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|8abde93a5d1:Merge upstream 9aa24e8f into PR presentation assembly|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|4e45ee9bede:Fix deterministic CI shard reds supersedes the 2-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/computer-use.ts	1	b16a3582aa9b55df39cb0cbf2228d05655cb696c	ee42d5006ed44862539d0c74a00d84774a2e20b0	+2/-1	b5f1960fd4d:merge: backmerge frozen upstream into continuation|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|4e45ee9bede:Fix deterministic CI shard reds	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at b16a3582aa9b55df39cb0cbf2228d05655cb696c. CANDIDATE preserves accepted SOURCE blob ee42d5006ed44862539d0c74a00d84774a2e20b0; the accepted +2/-1 overlay from b5f1960fd4d:merge: backmerge frozen upstream into continuation|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|4e45ee9bede:Fix deterministic CI shard reds supersedes the 1-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/dynamic-tool-build.test.ts	2	af44a2a2634009789e3b871290182a967958fdce	1eb4f35e556739813c9ce15604f53559d36ce068	+52/-4	d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|81a1dc92ac1:test(codex): cover canonical source reply finality|90b055341a1:Merge upstream/main into the continuation assembly candidate|7f2601b6779:Merge upstream/main (df725434f36) into 1172 continuation assembly|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|0dd8008463d:merge: absorb upstream 480e0c0 into PR presentation assembly|cb73c7db50c:Merge upstream f4387b7a into PR presentation assembly|164351fe76c:merge: absorb final frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|68358363287:Merge frozen upstream acf28495 into 1172 status-row assembly|2e155cf622e:merge: absorb upstream through 20eda for continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|5b3e0d552d8:fix(codex): forward continuation tool callbacks|c7802d01d24:Merge upstream/main through 42d34eb4c8b into #1172 candidate	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at af44a2a2634009789e3b871290182a967958fdce. CANDIDATE preserves accepted SOURCE blob 1eb4f35e556739813c9ce15604f53559d36ce068; the accepted +52/-4 overlay from d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|81a1dc92ac1:test(codex): cover canonical source reply finality|90b055341a1:Merge upstream/main into the continuation assembly candidate|7f2601b6779:Merge upstream/main (df725434f36) into 1172 continuation assembly|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|0dd8008463d:merge: absorb upstream 480e0c0 into PR presentation assembly|cb73c7db50c:Merge upstream f4387b7a into PR presentation assembly|164351fe76c:merge: absorb final frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|68358363287:Merge frozen upstream acf28495 into 1172 status-row assembly|2e155cf622e:merge: absorb upstream through 20eda for continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|5b3e0d552d8:fix(codex): forward continuation tool callbacks|c7802d01d24:Merge upstream/main through 42d34eb4c8b into #1172 candidate supersedes the 2-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/dynamic-tool-build.ts	1	4511df38f4da674e5e98b32680c82e6ae0ec863e	7929ff41ea560d6179a4e1f67d4b31901a484dbb	+8/-1	d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|3b33188c6d4:merge: absorb upstream/main into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|90b055341a1:Merge upstream/main into the continuation assembly candidate|7f2601b6779:Merge upstream/main (df725434f36) into 1172 continuation assembly|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|0dd8008463d:merge: absorb upstream 480e0c0 into PR presentation assembly|cb73c7db50c:Merge upstream f4387b7a into PR presentation assembly|164351fe76c:merge: absorb final frozen upstream for WO-1217|77ae5c4319e:test(codex): avoid cold plugin load in app-server proof|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|68358363287:Merge frozen upstream acf28495 into 1172 status-row assembly|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|5b3e0d552d8:fix(codex): forward continuation tool callbacks	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at 4511df38f4da674e5e98b32680c82e6ae0ec863e. CANDIDATE preserves accepted SOURCE blob 7929ff41ea560d6179a4e1f67d4b31901a484dbb; the accepted +8/-1 overlay from d54403ab018:merge: absorb current upstream 23854c39 into continuation candidate|b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|3b33188c6d4:merge: absorb upstream/main into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|90b055341a1:Merge upstream/main into the continuation assembly candidate|7f2601b6779:Merge upstream/main (df725434f36) into 1172 continuation assembly|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|0dd8008463d:merge: absorb upstream 480e0c0 into PR presentation assembly|cb73c7db50c:Merge upstream f4387b7a into PR presentation assembly|164351fe76c:merge: absorb final frozen upstream for WO-1217|77ae5c4319e:test(codex): avoid cold plugin load in app-server proof|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|68358363287:Merge frozen upstream acf28495 into 1172 status-row assembly|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|0ff0add5e40:merge: absorb upstream through 025e6cee for #1172|228da670830:merge: absorb upstream lifecycle and cron ownership into assembly|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|5b3e0d552d8:fix(codex): forward continuation tool callbacks supersedes the 1-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/dynamic-tool-execution.ts	1	4d46dc8ee412a971c6dd01fbca27d77e368e998e	bb3236741e0dba2d373cfb479bb3059f96dd11b6	+10/-2	2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|81930ccd5e2:merge: absorb upstream through 444fd4b for #1172|5616c1904bc:Fix blocker regressions after c46 absorb	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at 4d46dc8ee412a971c6dd01fbca27d77e368e998e. CANDIDATE preserves accepted SOURCE blob bb3236741e0dba2d373cfb479bb3059f96dd11b6; the accepted +10/-2 overlay from 2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|9507800800a:merge: absorb upstream/main into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|672bd50a7dc:Merge upstream 692310de into continuation assembly|81930ccd5e2:merge: absorb upstream through 444fd4b for #1172|5616c1904bc:Fix blocker regressions after c46 absorb supersedes the 1-line post-PR set candidate. No upstream restoration applies in this cure.
extensions/codex/src/app-server/dynamic-tools.test.ts	5	1e319e38079460b8b51705b41f89f96b93dfdd73	c3ae4cdadd64a4b11528b51781edd027dd3c02a4	+79/-6	b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|90b055341a1:Merge upstream/main into the continuation assembly candidate|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|8abde93a5d1:Merge upstream 9aa24e8f into PR presentation assembly|55fb755bebb:merge: absorb frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|d562ba0a1f4:fix(codex): classify successful continuation results|00af7feddcc:Merge upstream/main into #1172 assembly|56360c15761:Merge upstream/main into #1172 assembly|a9ea8e596e7:Backmerge upstream main into assembly after splay prune	No current-upstream hunk exists: UPSTREAM:path equals OLD_MERGE_BASE:path at 1e319e38079460b8b51705b41f89f96b93dfdd73. CANDIDATE preserves accepted SOURCE blob c3ae4cdadd64a4b11528b51781edd027dd3c02a4; the accepted +79/-6 overlay from b5f1960fd4d:merge: backmerge frozen upstream into continuation|2cf1c4dba1a:Merge upstream main into continuation assembly|f2cc523f491:Merge upstream eb63cb148 into continuation assembly|90b055341a1:Merge upstream/main into the continuation assembly candidate|ca5a25affc9:Merge upstream/main (cb50289e283) into 1172 continuation assembly|8abde93a5d1:Merge upstream 9aa24e8f into PR presentation assembly|55fb755bebb:merge: absorb frozen upstream for WO-1217|b5bc4347c0d:Merge upstream 18c9f27e into #1219 F1 accepted head|9ed7fd20b49:merge: absorb upstream cc48aef into continuation assembly|bae7eae11ab:Merge upstream/main into post-666 assembly candidate|d6ac137b148:Merge upstream c46cc1e2 into absorb branch|a05d8a41a26:merge: absorb frozen upstream for #1172|c15743f18b6:temporary exact-tree LOC comparison|d562ba0a1f4:fix(codex): classify successful continuation results|00af7feddcc:Merge upstream/main into #1172 assembly|56360c15761:Merge upstream/main into #1172 assembly|a9ea8e596e7:Backmerge upstream main into assembly after splay prune supersedes the 5-line post-PR set candidate. No upstream restoration applies in this cure.
